REF,ChangeKey,Unnamed: 0,Company Name,Location,Country,Space_Code,,Launch Date,Datum,Vehicle Type,Detail,Status Rocket, Rocket,Status Mission
0,SpaceX44050,0,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,8/7/2020,"Fri Aug 07, 2020 05:12 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Starlink V1 L9 & BlackSky,StatusActive,50,Success
1,CASC44049,1,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,Site,,8/6/2020,"Thu Aug 06, 2020 04:01 UTC",Long March 2D ,Long March 2D | Gaofen-9 04 & Q-SAT,StatusActive,29.75,Success
2,SpaceX44047,2,SpaceX,"Pad A, Boca Chica, Texas, USA",USA,Pad,,8/4/2020,"Tue Aug 04, 2020 23:57 UTC",Starship Prototype ,Starship Prototype | 150 Meter Hop,StatusActive,,Success
3,Roscosmos44042,3,Roscosmos,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,7/30/2020,"Thu Jul 30, 2020 21:25 UTC",Proton-M/Briz-M ,Proton-M/Briz-M | Ekspress-80 & Ekspress-103,StatusActive,65,Success
4,ULA44042,4,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,7/30/2020,"Thu Jul 30, 2020 11:50 UTC",Atlas V 541 ,Atlas V 541 | Perseverance,StatusActive,145,Success
5,CASC44037,5,CASC,"LC-9, Taiyuan Satellite Launch Center, China",China,LC-9,,7/25/2020,"Sat Jul 25, 2020 03:13 UTC",Long March 4B ,"Long March 4B | Ziyuan-3 03, Apocalypse-10 & NJU-HKU 1",StatusActive,64.68,Success
6,Roscosmos44035,6,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,7/23/2020,"Thu Jul 23, 2020 14:26 UTC",Soyuz 2.1a ,Soyuz 2.1a | Progress MS-15,StatusActive,48.5,Success
7,CASC44035,7,CASC,"LC-101, Wenchang Satellite Launch Center, China",China,LC-101,,7/23/2020,"Thu Jul 23, 2020 04:41 UTC",Long March 5 ,Long March 5 | Tianwen-1,StatusActive,,Success
8,SpaceX44032,8,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,7/20/2020,"Mon Jul 20, 2020 21:30 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | ANASIS-II,StatusActive,50,Success
9,JAXA44031,9,JAXA,"LA-Y1, Tanegashima Space Center, Japan",Japan,LA-Y1,,7/19/2020,"Sun Jul 19, 2020 21:58 UTC",H-IIA 202 ,H-IIA 202 | Hope Mars Mission,StatusActive,90,Success
10,Northrop44027,10,Northrop,"LP-0B, Wallops Flight Facility, Virginia, USA",USA,LP-0B,,7/15/2020,"Wed Jul 15, 2020 13:46 UTC",Minotaur IV ,Minotaur IV | NROL-129,StatusActive,46,Success
11,ExPace44022,11,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",China,Site,,7/10/2020,"Fri Jul 10, 2020 04:17 UTC",Kuaizhou 11 ,"Kuaizhou 11 | Jilin-1 02E, CentiSpace-1 S2",StatusActive,28.3,Failure
12,CASC44021,12,CASC,"LC-3, Xichang Satellite Launch Center, China",China,LC-3,,7/9/2020,"Thu Jul 09, 2020 12:11 UTC",Long March 3B/E ,Long March 3B/E | Apstar-6D,StatusActive,29.15,Success
13,IAI44018,13,IAI,"Pad 1, Palmachim Airbase, Israel",Israel,Pad,,7/6/2020,"Mon Jul 06, 2020 01:00 UTC",Shavit-2 ,Shavit-2 | Ofek-16,StatusActive,,Success
14,CASC44016,14,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,Site,,7/4/2020,"Sat Jul 04, 2020 23:44 UTC",Long March 2D ,Long March 2D | Shiyan-6 02,StatusActive,29.75,Success
15,Rocket Lab44016,15,Rocket Lab,"Rocket Lab LC-1A, M?Âhia Peninsula, New Zealand",Zealand,Rocket,,7/4/2020,"Sat Jul 04, 2020 21:19 UTC",Electron/Curie ,Electron/Curie | Pics Or It Didn??Â¦t Happen,StatusActive,7.5,Failure
16,CASC44015,16,CASC,"LC-9, Taiyuan Satellite Launch Center, China",China,LC-9,,7/3/2020,"Fri Jul 03, 2020 03:10 UTC",Long March 4B ,Long March 4B | Gaofen Duomo & BY-02,StatusActive,64.68,Success
17,SpaceX44012,17,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,6/30/2020,"Tue Jun 30, 2020 20:10 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | GPS III SV03,StatusActive,50,Success
18,CASC44005,18,CASC,"LC-2, Xichang Satellite Launch Center, China",China,LC-2,,6/23/2020,"Tue Jun 23, 2020 01:43 UTC",Long March 3B/E ,Long March 3B/E | Beidou-3 G3,StatusActive,29.15,Success
19,CASC43999,19,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,Site,,6/17/2020,"Wed Jun 17, 2020 07:19 UTC",Long March 2D ,"Long March 2D | Gaofen-9 03, Pixing III A & HEAD-5",StatusActive,29.75,Success
20,SpaceX43995,20,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,6/13/2020,"Sat Jun 13, 2020 09:21 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Starlink V1 L8 & SkySat 16 to 18,StatusActive,50,Success
21,Rocket Lab43995,21,Rocket Lab,"Rocket Lab LC-1A, M?Âhia Peninsula, New Zealand",Zealand,Rocket,,6/13/2020,"Sat Jun 13, 2020 05:12 UTC",Electron/Curie ,Electron/Curie | Don't stop me now!,StatusActive,7.5,Success
22,CASC43992,22,CASC,"LC-9, Taiyuan Satellite Launch Center, China",China,LC-9,,6/10/2020,"Wed Jun 10, 2020 18:31 UTC",Long March 2C ,Long March 2C | Haiyang-1D,StatusActive,30.8,Success
23,SpaceX43986,23,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,6/4/2020,"Thu Jun 04, 2020 01:25 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Starlink V1 L7,StatusActive,50,Success
24,CASC43982,24,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,Site,,5/31/2020,"Sun May 31, 2020 08:53 UTC",Long March 2D ,Long March 2D | Gaofen-9-02 & HEAD-4,StatusActive,29.75,Success
25,SpaceX43981,25,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,5/30/2020,"Sat May 30, 2020 19:22 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | SpaceX Demo-2,StatusActive,50,Success
26,CASC43980,26,CASC,"Xichang Satellite Launch Center, China",China,Xichang,,5/29/2020,"Fri May 29, 2020 20:13 UTC",Long March 11 ,Long March 11 | XJS-G and XJS-H,StatusActive,5.3,Success
27,Virgin Orbit43976,27,Virgin Orbit,"Cosmic Girl, Mojave Air and Space Port, California, USA",USA,Cosmic,,5/25/2020,"Mon May 25, 2020 19:50 UTC",LauncherOne ,LauncherOne | Demo Flight,StatusActive,12,Failure
28,VKS RF43973,28,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,Site,,5/22/2020,"Fri May 22, 2020 07:31 UTC",Soyuz 2.1b/Fregat-M ,Soyuz 2.1b/Fregat-M | Cosmos 2546,StatusActive,,Success
29,MHI43971,29,MHI,"LA-Y2, Tanegashima Space Center, Japan",Japan,LA-Y2,,5/20/2020,"Wed May 20, 2020 17:31 UTC",H-IIB ,H-IIB | HTV-9,StatusRetired,112.5,Success
30,ULA43968,30,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,5/17/2020,"Sun May 17, 2020 13:14 UTC",Atlas V 501 ,Atlas V 501 | OTV-6 (USSF-7),StatusActive,120,Success
31,ExPace43963,31,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",China,Site,,5/12/2020,"Tue May 12, 2020 01:16 UTC",Kuaizhou 1A ,Kuaizhou 1A | Xingyun-2 01 (Wuhan) & 02,StatusActive,,Success
32,CASC43956,32,CASC,"LC-101, Wenchang Satellite Launch Center, China",China,LC-101,,5/5/2020,"Tue May 05, 2020 10:00 UTC",Long March 5B ,Long March 5B | Test Flight (New Crew Capsule),StatusActive,,Success
33,Roscosmos43946,33,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,4/25/2020,"Sat Apr 25, 2020 01:51 UTC",Soyuz 2.1a ,Soyuz 2.1a | Progress MS-14,StatusActive,48.5,Success
34,SpaceX43943,34,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,4/22/2020,"Wed Apr 22, 2020 19:30 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Starlink V1 L6,StatusActive,50,Success
35,IRGC43943,35,IRGC,"Launch Plateform, Shahrud Missile Test Site",Site,Launch,,4/22/2020,"Wed Apr 22, 2020 03:59 UTC",Qased ,Qased | Noor 1,StatusActive,,Success
36,CASC43930,36,CASC,"LC-2, Xichang Satellite Launch Center, China",China,LC-2,,4/9/2020,"Thu Apr 09, 2020 11:46 UTC",Long March 3B/E ,Long March 3B/E | Nusantara Dua,StatusActive,29.15,Failure
37,Roscosmos43930,37,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,4/9/2020,"Thu Apr 09, 2020 08:05 UTC",Soyuz 2.1a ,Soyuz 2.1a | Soyuz MS-16,StatusActive,48.5,Success
38,ULA43916,38,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,3/26/2020,"Thu Mar 26, 2020 20:18 UTC",Atlas V 551 ,Atlas V 551 | AEHF 6,StatusActive,153,Success
39,CASC43914,39,CASC,"LC-3, Xichang Satellite Launch Center, China",China,LC-3,,3/24/2020,"Tue Mar 24, 2020 03:43 UTC",Long March 2C ,Long March 2C | Yaogan-30-06,StatusActive,30.8,Success
40,Arianespace43911,40,Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,3/21/2020,"Sat Mar 21, 2020 17:06 UTC",Soyuz 2.1b/Fregat ,Soyuz 2.1b/Fregat | OneWeb #3,StatusActive,48.5,Success
41,SpaceX43908,41,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,3/18/2020,"Wed Mar 18, 2020 12:16 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Starlink V1 L5,StatusActive,50,Success
42,VKS RF43906,42,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,Site,,3/16/2020,"Mon Mar 16, 2020 18:28 UTC",Soyuz 2.1b/Fregat-M ,Soyuz 2.1b/Fregat-M | Cosmos 2545,StatusActive,,Success
43,CASC43906,43,CASC,"LC-201, Wenchang Satellite Launch Center, China",China,LC-201,,3/16/2020,"Mon Mar 16, 2020 13:34 UTC",Long March 7A ,Long March 7A | XJY-6,StatusActive,,Failure
44,CASC43899,44,CASC,"LC-2, Xichang Satellite Launch Center, China",China,LC-2,,3/9/2020,"Mon Mar 09, 2020 11:55 UTC",Long March 3B/E ,Long March 3B/E | Beidou-3 G2,StatusActive,29.15,Success
45,SpaceX43897,45,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,3/7/2020,"Sat Mar 07, 2020 04:50 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | CRS-20,StatusActive,50,Success
46,VKS RF43881,46,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,Site,,2/20/2020,"Thu Feb 20, 2020 08:24 UTC",Soyuz 2.1a/Fregat-M ,Soyuz 2.1a/Fregat-M | Meridian-M nâ€ Â­19L,StatusActive,48.5,Success
47,CASC43880,47,CASC,"LC-3, Xichang Satellite Launch Center, China",China,LC-3,,2/19/2020,"Wed Feb 19, 2020 21:07 UTC",Long March 2D ,Long March 2D | XJS-C to F,StatusActive,29.75,Success
48,Arianespace43879,48,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,2/18/2020,"Tue Feb 18, 2020 22:18 UTC",Ariane 5 ECA ,Ariane 5 ECA | JCSAT-17 & GEO-KOMPSAT 2B,StatusActive,200,Success
49,SpaceX43878,49,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,2/17/2020,"Mon Feb 17, 2020 15:05 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Starlink V1 L4,StatusActive,50,Success
50,Northrop43876,50,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",USA,LP-0A,,2/15/2020,"Sat Feb 15, 2020 20:21 UTC",Antares 230+ ,Antares 230+ | CRS NG-13,StatusActive,85,Success
51,ULA43871,51,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,2/10/2020,"Mon Feb 10, 2020 04:03 UTC",Atlas V 411 ,Atlas V 411 | Solar Orbiter,StatusActive,115,Success
52,ISA43870,52,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",Iran,Imam,,2/9/2020,"Sun Feb 09, 2020 15:48 UTC",Simorgh ,Simorgh | Zafar 1,StatusActive,,Failure
53,MHI43870,53,MHI,"LA-Y1, Tanegashima Space Center, Japan",Japan,LA-Y1,,2/9/2020,"Sun Feb 09, 2020 01:34 UTC",H-IIA 202 ,H-IIA 202 | IGS-Optical 7,StatusActive,90,Success
54,Arianespace43867,54,Arianespace,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,2/6/2020,"Thu Feb 06, 2020 21:42 UTC",Soyuz 2.1b/Fregat ,Soyuz 2.1b/Fregat | OneWeb #2,StatusActive,48.5,Success
55,Rocket Lab43861,55,Rocket Lab,"Rocket Lab LC-1A, M?Âhia Peninsula, New Zealand",Zealand,Rocket,,1/31/2020,"Fri Jan 31, 2020 02:56 UTC",Electron/Curie ,Electron/Curie | Birds of a Feather / NROL-151,StatusActive,7.5,Success
56,SpaceX43859,56,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,1/29/2020,"Wed Jan 29, 2020 14:06 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Starlink V1 L3,StatusActive,50,Success
57,SpaceX43849,57,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,1/19/2020,"Sun Jan 19, 2020 15:30 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Crew Dragon Inflight Abort Test,StatusActive,50,Success
58,Arianespace43846,58,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,1/16/2020,"Thu Jan 16, 2020 21:05 UTC",Ariane 5 ECA ,Ariane 5 ECA | Eutelsat Konnect BB4A & GSAT-30,StatusActive,200,Success
59,ExPace43846,59,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",China,Site,,1/16/2020,"Thu Jan 16, 2020 03:02 UTC",Kuaizhou 1A ,Kuaizhou 1A | Yinhe-1,StatusActive,,Success
60,CASC43845,60,CASC,"LC-9, Taiyuan Satellite Launch Center, China",China,LC-9,,1/15/2020,"Wed Jan 15, 2020 02:53 UTC",Long March 2D ,Long March 2D | Jilin-1 Wideband 01 & ??uSat-7/8,StatusActive,29.75,Success
61,CASC43837,61,CASC,"LC-2, Xichang Satellite Launch Center, China",China,LC-2,,1/7/2020,"Tue Jan 07, 2020 15:20 UTC",Long March 3B/E ,Long March 3B/E | TJSW-5,StatusActive,29.15,Success
62,SpaceX43837,62,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,1/7/2020,"Tue Jan 07, 2020 02:19 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Starlink V1 L2,StatusActive,50,Success
63,CASC43826,63,CASC,"LC-101, Wenchang Satellite Launch Center, China",China,LC-101,,12/27/2019,"Fri Dec 27, 2019 12:45 UTC",Long March 5 ,Long March 5 | Shijian-20,StatusActive,,Success
64,VKS RF43825,64,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,12/26/2019,"Thu Dec 26, 2019 23:11 UTC",Rokot/Briz KM ,"Rokot/Briz KM | Gonets-M ???24, 25, 26 [block-15] & Blits-M1",StatusRetired,41.8,Success
65,Roscosmos43823,65,Roscosmos,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,12/24/2019,"Tue Dec 24, 2019 12:03 UTC",Proton-M/DM-3 ,Proton-M/DM-3 | Elektro-L nâ€ Â­3,StatusActive,65,Success
66,ULA43819,66,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",USA,SLC-41,,12/20/2019,"Fri Dec 20, 2019 11:36 UTC",Atlas V N22 ,Atlas V N22 | Starliner OFT,StatusActive,,Success
67,CASC43819,67,CASC,"LC-9, Taiyuan Satellite Launch Center, China",China,LC-9,,12/20/2019,"Fri Dec 20, 2019 03:22 UTC",Long March 4B ,"Long March 4B | CBERS-4A, ETRSS-1 & Others",StatusActive,64.68,Success
68,Arianespace43817,68,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",France,ELS,,12/18/2019,"Wed Dec 18, 2019 08:54 UTC",Soyuz ST-A/Fregat-M ,"Soyuz ST-A/Fregat-M | CSG-1, CHEOPS & Others",StatusActive,,Success
69,SpaceX43816,69,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,12/17/2019,"Tue Dec 17, 2019 00:10 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | JCSAT-18 / Kacific-1,StatusActive,50,Success
70,CASC43815,70,CASC,"LC-3, Xichang Satellite Launch Center, China",China,LC-3,,12/16/2019,"Mon Dec 16, 2019 07:22 UTC",Long March 3B/YZ-1 ,Long March 3B/YZ-1 | BeiDou-3 M19 & M20,StatusActive,,Success
71,Blue Origin43810,71,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",USA,Blue,,12/11/2019,"Wed Dec 11, 2019 17:55 UTC",New Shepard ,New Shepard | NS-12,StatusActive,,Success
72,ISRO43810,72,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",India,First,,12/11/2019,"Wed Dec 11, 2019 09:55 UTC",PSLV-QL ,PSLV-QL | RISAT 2BR1,StatusActive,21,Success
73,VKS RF43810,73,VKS RF,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,Site,,12/11/2019,"Wed Dec 11, 2019 08:54 UTC",Soyuz 2.1b/Fregat ,Soyuz 2.1b/Fregat | Cosmos 2544,StatusActive,48.5,Success
74,ExPace43806,74,ExPace,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,Site,,12/7/2019,"Sat Dec 07, 2019 08:52 UTC",Kuaizhou 1A ,Kuaizhou 1A | HEAD-2A/B / SpaceTY 16/17 / Tianqi 4A/B,StatusActive,,Success
75,ExPace43806,75,ExPace,"Taiyuan Satellite Launch Center, China",China,Taiyuan,,12/7/2019,"Sat Dec 07, 2019 02:55 UTC",Kuaizhou 1A ,Kuaizhou 1A | Jilin-1 Gaofen-02B,StatusActive,,Success
76,Roscosmos43805,76,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,12/6/2019,"Fri Dec 06, 2019 09:34 UTC",Soyuz 2.1a ,Soyuz 2.1a | Progress MS-13 (74P),StatusActive,48.5,Success
77,Rocket Lab43805,77,Rocket Lab,"Rocket Lab LC-1A, M?Âhia Peninsula, New Zealand",Zealand,Rocket,,12/6/2019,"Fri Dec 06, 2019 08:18 UTC",Electron/Curie ,Electron/Curie | Running Out Of Fingers,StatusActive,7.5,Success
78,SpaceX43804,78,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,12/5/2019,"Thu Dec 05, 2019 17:29 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | CRS-19,StatusActive,50,Success
79,CASC43796,79,CASC,"LC-9, Taiyuan Satellite Launch Center, China",China,LC-9,,11/27/2019,"Wed Nov 27, 2019 23:52 UTC",Long March 4C ,Long March 4C | Gaofen-12,StatusActive,64.68,Success
80,ISRO43796,80,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",India,Second,,11/27/2019,"Wed Nov 27, 2019 03:58 UTC",PSLV-XL ,PSLV-XL | Cartosat-3 & Rideshares,StatusActive,31,Success
81,Arianespace43795,81,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",France,ELA-3,,11/26/2019,"Tue Nov 26, 2019 21:23 UTC",Ariane 5 ECA ,Ariane 5 ECA | Inmarsat 5 F5 & TIBA-1,StatusActive,200,Success
82,VKS RF43794,82,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,Site,,11/25/2019,"Mon Nov 25, 2019 17:52 UTC",Soyuz 2.1v/Volga ,Soyuz 2.1v/Volga | Cosmos 2542 & 2543,StatusActive,,Success
83,CASC43792,83,CASC,"LC-3, Xichang Satellite Launch Center, China",China,LC-3,,11/23/2019,"Sat Nov 23, 2019 00:55 UTC",Long March 3B/YZ-1 ,Long March 3B/YZ-1 | BeiDou-3 M21 & M22,StatusActive,,Success
84,ExPace43786,84,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",China,Site,,11/17/2019,"Sun Nov 17, 2019 10:00 UTC",Kuaizhou 1A ,"Kuaizhou 1A | KL-Alpha A, KL-Alpha B",StatusActive,,Success
85,CASC43782,85,CASC,"LC-16, Taiyuan Satellite Launch Center, China",China,LC-16,,11/13/2019,"Wed Nov 13, 2019 06:35 UTC",Long March 6 ,Long March 6 | Ningxia-1 (x5),StatusActive,,Success
86,ExPace43782,86,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",China,Site,,11/13/2019,"Wed Nov 13, 2019 03:40 UTC",Kuaizhou 1A ,Kuaizhou 1A | Jilin 1-02A,StatusActive,,Success
87,SpaceX43780,87,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",USA,SLC-40,,11/11/2019,"Mon Nov 11, 2019 14:56 UTC",Falcon 9 Block 5 ,Falcon 9 Block 5 | Starlink V1 L1,StatusActive,50,Success
88,CASC43773,88,CASC,"LC-2, Xichang Satellite Launch Center, China",China,LC-2,,11/4/2019,"Mon Nov 04, 2019 17:43 UTC",Long March 3B/E ,Long March 3B/E | Beidou-3 IGSO-3,StatusActive,29.15,Success
89,CASC43772,89,CASC,"LC-9, Taiyuan Satellite Launch Center, China",China,LC-9,,11/3/2019,"Sun Nov 03, 2019 03:22 UTC",Long March 4B ,Long March 4B | Gaofen-7,StatusActive,64.68,Success
90,Northrop43771,90,Northrop,"LP-0A, Wallops Flight Facility, Virginia, USA",USA,LP-0A,,11/2/2019,"Sat Nov 02, 2019 13:59 UTC",Antares 230+ ,Antares 230+ | CRS NG-12,StatusActive,85,Success
91,Exos43764,91,Exos,"Vertical Launch Area, Spaceport America, New Mexico",Mexico,Vertical,,10/26/2019,"Sat Oct 26, 2019 17:40 UTC",SARGE ,SARGE | Launch 4,StatusActive,,Failure
92,CASC43755,92,CASC,"LC-3, Xichang Satellite Launch Center, China",China,LC-3,,10/17/2019,"Thu Oct 17, 2019 15:21 UTC",Long March 3B/E ,Long March 3B/E | TJSW-4,StatusActive,29.15,Success
93,Rocket Lab43755,93,Rocket Lab,"Rocket Lab LC-1A, M?Âhia Peninsula, New Zealand",Zealand,Rocket,,10/17/2019,"Thu Oct 17, 2019 01:22 UTC",Electron/Curie ,Electron/Curie | As The Crow Flies,StatusActive,7.5,Success
94,Northrop43749,94,Northrop,"Stargazer, Cape Canaveral AFS, Florida, USA",USA,Stargazer,,10/11/2019,"Fri Oct 11, 2019 01:59 UTC",Pegasus XL ,Pegasus XL | ICON,StatusActive,40,Success
95,ILS43747,95,ILS,"Site 200/39, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,10/9/2019,"Wed Oct 09, 2019 10:17 UTC",Proton-M/Briz-M ,Proton-M/Briz-M | Eutelsat 5 West B & MEV-1,StatusActive,65,Success
96,CASC43742,96,CASC,"LC-9, Taiyuan Satellite Launch Center, China",China,LC-9,,10/4/2019,"Fri Oct 04, 2019 18:51 UTC",Long March 4C ,Long March 4C | Gaofen 10 (Replacement),StatusActive,64.68,Success
97,VKS RF43734,97,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,Site,,9/26/2019,"Thu Sep 26, 2019 07:46 UTC",Soyuz 2.1b/Fregat ,Soyuz 2.1b/Fregat | Cosmos 2541,StatusActive,48.5,Success
98,Roscosmos43733,98,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,9/25/2019,"Wed Sep 25, 2019 13:57 UTC",Soyuz FG ,Soyuz FG | Soyuz MS-15 (61S),StatusRetired,,Success
99,CASC43733,99,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",China,Site,,9/25/2019,"Wed Sep 25, 2019 00:54 UTC",Long March 2D ,Long March 2D | Yunhai-1-02,StatusActive,29.75,Success
100,MHI43732,100,MHI,"LA-Y2, Tanegashima Space Center, Japan",Japan,LA-Y2,,9/24/2019,"Tue Sep 24, 2019 16:05 UTC",H-IIB ,H-IIB | HTV-8,StatusRetired,112.5,Success
101,CASC43730,101,CASC,"LC-2, Xichang Satellite Launch Center, China",China,LC-2,,9/22/2019,"Sun Sep 22, 2019 21:10 UTC",Long March 3B/YZ-1 ,Long March 3B/YZ-1 | BeiDou-3 M23 & M24,StatusActive,,Success
102,CASC43727,102,CASC,"Site 95, Jiuquan Satellite Launch Center, China",China,Site,,9/19/2019,"Thu Sep 19, 2019 06:42 UTC",Long March 11 ,Long March 11 | Zhuhai-1 Group 03,StatusActive,5.3,Success
103,CASC43720,103,CASC,"LC-9, Taiyuan Satellite Launch Center, China",China,LC-9,,9/12/2019,"Thu Sep 12, 2019 03:26 UTC",Long March 4B ,"Long March 4B | Ziyuan-2D, BNU-1 & Taurus-1",StatusActive,64.68,Success
104,ExPace43707,104,ExPace,"Site 95, Jiuquan Satellite Launch Center, China",China,Site,,8/30/2019,"Fri Aug 30, 2019 23:41 UTC",Kuaizhou 1A ,Kuaizhou 1A | KX-09 & Others,StatusActive,,Success
105,VKS RF43707,105,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,8/30/2019,"Fri Aug 30, 2019 14:00 UTC",Rokot/Briz KM ,Rokot/Briz KM | Cosmos 2540,StatusRetired,41.8,Success
106,ISA44437,106,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran",Iran,Imam,,8/29/2021,"Thu Aug 29, 2019 UTC",Safir-1B+ ,Safir-1B+ | Nahid-1,StatusActive,,Prelaunch Failure
107,ULA43699,107,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",USA,SLC-37B,,8/22/2019,"Thu Aug 22, 2019 13:06 UTC","Delta IV Medium+ (4,2) ","Delta IV Medium+ (4,2) | GPS III SV02",StatusRetired,164,Success
108,Roscosmos43699,108,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,8/22/2019,"Thu Aug 22, 2019 03:38 UTC",Soyuz 2.1a ,Soyuz 2.1a | Soyuz MS-14 (60S),StatusActive,48.5,Success
109,Rocket Lab43696,109,Rocket Lab,"Rocket Lab LC-1A, M?Âhia Peninsula, New Zealand",Zealand,Rocket,,8/19/2019,"Mon Aug 19, 2019 12:12 UTC",Electron/Curie ,"Electron/Curie | Look Ma, No Hands!",StatusActive,7.5,Success
110,CASC43696,110,CASC,"LC-2, Xichang Satellite Launch Center, China",China,LC-2,,8/19/2019,"Mon Aug 19, 2019 12:03 UTC",Long March 3B/E ,Long March 3B/E | ChinaSat 18,StatusActive,29.15,Success
