REF,ChangeKey,Unnamed: 0,Company Name,Location,Country,Space_Code,,Launch Date,Datum,Vehicle Type,Detail,Status Rocket, Rocket,Status Mission
3364,RVSN USSR26037,3364,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,Site,,4/14/1971,"Wed Apr 14, 1971 08:00 UTC",Voskhod ,Voskhod | Cosmos 406,StatusRetired,,Success
3365,RVSN USSR26030,3365,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,Site,,4/7/1971,"Wed Apr 07, 1971 07:10 UTC",Vostok-2M ,Vostok-2M | Cosmos 405,StatusRetired,,Success
3366,RVSN USSR26025,3366,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,Site,,4/2/1971,"Fri Apr 02, 1971 08:20 UTC",Voskhod ,Voskhod | Cosmos 403,StatusRetired,,Success
3367,RVSN USSR26024,3367,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,4/1/1971,"Thu Apr 01, 1971 11:29 UTC",Tsyklon-2 ,Tsyklon-2 | Cosmos 402,StatusRetired,,Success
3368,RVSN USSR26019,3368,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,Site,,3/27/1971,"Sat Mar 27, 1971 10:59 UTC",Voskhod ,Voskhod | Cosmos 401,StatusRetired,,Success
3369,RVSN USSR26015,3369,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,Site,,3/23/1971,"Tue Mar 23, 1971 11:30 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | Cosmos 407,StatusRetired,,Success
3370,Martin Marietta26013,3370,Martin Marietta,"SLC-4W, Vandenberg AFB, California, USA",USA,SLC-4W,,3/21/1971,"Sun Mar 21, 1971 03:45 UTC",Titan-III(33)B Agena-D ,Titan-III(33)B Agena-D | Jumpseat 1,StatusRetired,,Success
3371,RVSN USSR26010,3371,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,Site,,3/18/1971,"Thu Mar 18, 1971 21:45 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | Cosmos 400,StatusRetired,,Success
3372,RVSN USSR25997,3372,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",Russia,Site,,3/5/1971,"Fri Mar 05, 1971 08:15 UTC",Cosmos-2I (63SM) ,Cosmos-2I (63SM) | DS-P1-You #39,StatusRetired,,Failure
3373,RVSN USSR25997,3373,RVSN USSR,"Site 43/4, Plesetsk Cosmodrome, Russia",Russia,Site,,3/5/1971,"Fri Mar 05, 1971 01:02 UTC",Voskhod ,Voskhod | Zenit-2M nâ€ Â­17,StatusRetired,,Failure
3374,RVSN USSR25996,3374,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,3/4/1971,"Thu Mar 04, 1971 14:27 UTC",Tsyklon-2 ,Tsyklon-2 | Cosmos 404,StatusRetired,,Success
3375,CASC25995,3375,CASC,"Site 5020 (LA-2A), Jiuquan Satellite Launch Center, China",China,Site,,3/3/1971,"Wed Mar 03, 1971 12:15 UTC",Long March 1 ,Long March 1 | Shijian 1,StatusRetired,,Success
3376,RVSN USSR25995,3376,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,3/3/1971,"Wed Mar 03, 1971 09:30 UTC",Voskhod ,Voskhod | Cosmos 399,StatusRetired,,Success
3377,RVSN USSR25990,3377,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,2/26/1971,"Fri Feb 26, 1971 05:06 UTC",Soyuz L ,Soyuz L | Cosmos 398 (T2K Lunar Lander),StatusRetired,,Success
3378,RVSN USSR25989,3378,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,2/25/1971,"Thu Feb 25, 1971 11:11 UTC",Tsyklon-2 ,Tsyklon-2 | Cosmos 397,StatusRetired,,Success
3379,ISAS25985,3379,ISAS,"Mu Pad, Uchinoura Space Center, Japan",Japan,Mu,,2/21/1971,"Sun Feb 21, 1971 05:00 UTC",Mu-III C ,Mu-III C | Hakucho,StatusRetired,,Success
3380,RVSN USSR25982,3380,RVSN USSR,"Site 43/3, Plesetsk Cosmodrome, Russia",Russia,Site,,2/18/1971,"Thu Feb 18, 1971 13:59 UTC",Voskhod ,Voskhod | Cosmos 396,StatusRetired,,Success
3381,RVSN USSR25981,3381,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,Site,,2/17/1971,"Wed Feb 17, 1971 21:10 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | Cosmos 395,StatusRetired,,Success
3382,ISAS25980,3382,ISAS,"Mu Pad, Uchinoura Space Center, Japan",Japan,Mu,,2/16/1971,"Tue Feb 16, 1971 04:00 UTC",Mu-IV S ,Mu-IV S | Tansei 1,StatusRetired,,Success
3383,RVSN USSR25973,3383,RVSN USSR,"Site 132/1, Plesetsk Cosmodrome, Russia",Russia,Site,,2/9/1971,"Tue Feb 09, 1971 18:48 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | Cosmos 394,StatusRetired,,Success
3384,NASA25964,3384,NASA,"LC-39A, Kennedy Space Center, Florida, USA",USA,LC-39A,,1/31/1971,"Sun Jan 31, 1971 21:03 UTC",Saturn V ,Saturn V | Apollo 14,StatusRetired,"1,160.00",Success
3385,RVSN USSR25959,3385,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,1/26/1971,"Tue Jan 26, 1971 12:44 UTC",Cosmos-2I (63SM) ,Cosmos-2I (63SM) | Cosmos 393,StatusRetired,,Success
3386,General Dynamics25959,3386,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",USA,SLC-36A,,1/26/1971,"Tue Jan 26, 1971 00:36 UTC",Atlas-SLV3C Centaur-D ,Atlas-SLV3C Centaur-D | Intelsat 4 F2,StatusRetired,,Success
3387,US Air Force25954,3387,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",USA,SLC-4W,,1/21/1971,"Thu Jan 21, 1971 18:28 UTC",Titan III(23)B ,Titan III(23)B | OPS 7776,StatusRetired,,Success
3388,RVSN USSR25954,3388,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,1/21/1971,"Thu Jan 21, 1971 08:40 UTC",Voskhod ,Voskhod | Cosmos 392,StatusRetired,,Success
3389,RVSN USSR25953,3389,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,Site,,1/20/1971,"Wed Jan 20, 1971 11:24 UTC",Vostok-2M ,Vostok-2M | Meteor nâ€ Â­18,StatusRetired,,Success
3390,RVSN USSR25947,3390,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,1/14/1971,"Thu Jan 14, 1971 12:00 UTC",Cosmos-2I (63SM) ,Cosmos-2I (63SM) | Cosmos 391,StatusRetired,,Success
3391,RVSN USSR25945,3391,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,1/12/1971,"Tue Jan 12, 1971 09:30 UTC",Voskhod ,Voskhod | Cosmos 390,StatusRetired,,Success
3392,RVSN USSR25927,3392,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,12/25/1970,"Fri Dec 25, 1970 03:50 UTC",Molniya-M /Block L ,Molniya-M /Block L | Molniya-1 nâ€ Â­22,StatusRetired,,Success
3393,RVSN USSR25924,3393,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,Site,,12/22/1970,"Tue Dec 22, 1970 21:30 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | DS-P1-M #1,StatusRetired,,Failure
3394,RVSN USSR25920,3394,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",Russia,Site,,12/18/1970,"Fri Dec 18, 1970 16:15 UTC",Vostok-2M ,Vostok-2M | Cosmos 389,StatusRetired,,Success
3395,RVSN USSR25920,3395,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",Russia,Site,,12/18/1970,"Fri Dec 18, 1970 09:39 UTC",Cosmos-2I (63SM) ,Cosmos-2I (63SM) | Cosmos 388,StatusRetired,,Success
3396,RVSN USSR25918,3396,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",Russia,Site,,12/16/1970,"Wed Dec 16, 1970 04:30 UTC",Cosmos-3M (11K65M) ,Cosmos-3M (11K65M) | Cosmos 387,StatusRetired,,Success
3397,RVSN USSR25917,3397,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",Kazakhstan,Site,,12/15/1970,"Tue Dec 15, 1970 10:00 UTC",Voskhod ,Voskhod | Cosmos 386,StatusRetired,,Success
